cz90,czname,speccode,specdesc,incper,log_incper,n_incper,agi,log_agi,n_agi
"00100","Johnson City-Kingsport-Bristol, TN-VA","00","All Physicians",326100,12.37,1600,381000,12.59,1600
"00302","Knoxville, TN-Middlesborough, KY (2)","00","All Physicians",384900,12.54,2100,444600,12.71,2100
"00500","Danville, VA","00","All Physicians",328400,12.43,1800,385400,12.61,1800
"00900","Charlotte, NC","00","All Physicians",378600,12.52,4800,,,
"01302","Florence-Myrtle Beach, SC (2)","00","All Physicians",366100,12.5,1200,,,
"01400","Fayetteville, NC","00","All Physicians",309200,12.35,1300,,,
"01701","Raleigh-Durham-Chapel Hill, NC (1)","00","All Physicians",315400,12.34,6900,,,
"01900","Greenville-Jacksonville, NC","00","All Physicians",305100,12.28,1400,,,
"02000","Norfolk-Virginia Beach-Newport News, VA-NC","00","All Physicians",317300,12.39,2900,,,
"02400","Richmond-Petersburg, VA","00","All Physicians",315000,12.4,3300,,,
"02500","Newport News, VA","00","All Physicians",312600,12.34,1200,,,
"03003","Jackson, MS (3)","00","All Physicians",325500,12.33,1800,,,
"03300","New Orleans, LA","00","All Physicians",347700,12.43,3900,,,
"03500","Baton Rouge, LA","00","All Physicians",390900,12.46,1600,445600,12.66,1600
"03800","Lafayette, LA","00","All Physicians",412200,12.54,1000,,,
"04200","Little Rock-North Little Rock, AR","00","All Physicians",346500,12.49,2300,406400,12.67,2300
"05202","Memphis, TN-AR-MS (2)","00","All Physicians",391100,12.51,2700,,,
"05600","Nashville, TN","00","All Physicians",373600,12.47,5200,,,
"06000","Decatur-Huntsville, AL","00","All Physicians",397100,12.42,1100,461000,12.67,1100
"06700","Tampa-St. Petersburg-Clearwater, FL","00","All Physicians",406600,12.47,7900,,,
"06800","Lakeland-Winter Haven, FL","00","All Physicians",440800,12.6,900,,,
"06900","Punta Gorda-Sarasota-Bradenton, FL","00","All Physicians",389200,12.47,2300,,,
"07000","Fort Lauderdale-Miami, FL","00","All Physicians",390000,12.38,10500,,,
"07100","Fort Pierce-West Palm Beach-Boca Raton, FL","00","All Physicians",431400,12.48,4700,,,
"07200","Fort Myers-Cape Coral-Naples, FL","00","All Physicians",460200,12.58,2400,,,
"07300","Melbourne-Titusville-Palm Bay, FL","00","All Physicians",387700,12.49,1600,457700,12.69,1600
