vintage_year,census_code_2002,census_title_2002,employment,n_onet_occs,n_tasks,n_exempt,share_exempt_equal,share_exempt_im,share_exempt_rt,share_exempt_freq_ordinal,share_exempt_freq_weekly,share_exempt_freq_daily,share_exempt_rt_freq
2008,10,Chief executives,1675687.8137583332,1.0,32.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008,20,General and operations managers,1032603.0848083333,1.0,17.0,16.0,0.9411764740943909,0.9421926140785217,0.9526429772377014,0.9424468874931335,0.881388783454895,0.9253658056259155,0.9424468874931335
2008,30,Legislators,,1.0,30.0,30.0,1.0,,,,,,
2008,40,Advertising and promotions managers,85393.95276666667,1.0,24.0,23.0,0.9583333134651184,0.9717229008674622,0.9655402302742004,0.9820311069488525,0.9959143996238708,0.9985697865486145,0.9820311069488525
2008,50,Marketing and sales managers,976344.7227333334,2.0,33.0,32.0,0.9660326242446899,0.964363694190979,0.9618611931800842,0.9561448693275452,0.9618880748748779,0.9661260843276978,0.9561448693275452
2008,60,Public relations managers,61562.2747,1.0,19.0,16.0,0.8421052694320679,0.8617165088653564,0.8696237802505493,0.879528820514679,0.898236095905304,0.8917099237442017,0.879528820514679
2008,100,Administrative services managers,100471.49506666667,1.0,14.0,13.0,0.9285714030265808,0.9363470673561096,0.9099360704421997,0.8932002782821655,0.9387339353561401,0.9306520223617554,0.8932003378868103
2008,110,Computer and information systems managers,481729.92687499995,1.0,17.0,14.0,0.8235294222831726,0.828000009059906,0.8191502690315247,0.8030416369438171,0.7227054238319397,0.77919602394104,0.8030416369438171
2008,120,Financial managers,1219455.5569666666,2.0,41.0,33.0,0.8069227933883667,0.8008396625518799,0.7981045246124268,0.7584820985794067,0.6817101836204529,0.6932935118675232,0.7584820985794067
2008,130,Human resources managers,308444.32556666667,3.0,62.0,51.0,0.825344443321228,0.8284211158752441,0.8239229321479797,0.8026197552680969,0.7732970118522644,0.7759978771209717,0.8026197552680969
2008,140,Industrial production managers,248759.66061666666,1.0,14.0,12.0,0.8571428656578064,0.8653956055641174,0.8569654226303101,0.8598944544792175,0.9021012187004089,0.858069121837616,0.8598944544792175
2008,150,Purchasing managers,199544.374725,1.0,17.0,13.0,0.7647058963775635,0.7690221667289734,0.762756884098053,0.7219717502593994,0.5790589451789856,0.5368098616600037,0.7219717502593994
2008,160,"Transportation, storage, and distribution managers",245170.02110833334,2.0,46.0,36.0,0.8845577239990234,0.8926514983177185,0.8833671808242798,0.8931632041931152,0.8953806757926941,0.892206072807312,0.8931632041931152
2008,200,"Farm, ranch, and other agricultural managers",229841.68531666664,3.0,55.0,28.0,0.4894087314605713,0.4928372800350189,0.4911481440067291,0.5064749717712402,0.5580072999000549,0.4906761050224304,0.5064749717712402
2008,210,Farmers and ranchers,768294.8712416667,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,220,Construction managers,1297517.0640333334,1.0,18.0,17.0,0.9444444179534912,0.9482860565185547,0.9594190120697021,0.9643357396125793,0.9852954149246216,0.9859192967414856,0.9643357396125793
2008,230,Education administrators,867755.8955083332,3.0,67.0,58.0,0.8583062291145325,0.8591421842575073,0.84200519323349,0.8267472386360168,0.813204288482666,0.8114833831787109,0.8267472386360168
2008,300,Engineering managers,106217.90095833334,1.0,17.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008,310,Food service managers,1102689.174325,1.0,28.0,16.0,0.5714285969734192,0.572883665561676,0.5990375280380249,0.6009616851806641,0.6104618906974792,0.6038443446159363,0.6009616851806641
